"Comunidad";"Provincia";"Poblacion";"Latitud";"Longitud";"Habitantes";"Hombres";"Mujeres"
"Catalunya";"Barcelona";"Prat de Llobregat (El)";"41.33047";"2.093149";63418;31601;31817
"Madrid";"Madrid";"Valdemoro";"40.19269";"-3.679874";62750;31546;31204
"Catalunya";"Barcelona";"Castelldefels";"41.28039";"1.976774";62080;31116;30964
"Valencia";"Alicante/Alacant";"Alcoy/Alcoi";"38.69763";"-0.4730959";61552;29854;31698
"Andalucía";"Jaén";"Linares";"38.09362";"-3.635844";61338;30067;31271
"País Vasco";"Guipúzcoa";"Irun";"43.33823";"-1.789272";60951;29878;31073
"Catalunya";"Barcelona";"Granollers";"41.60821";"2.287789";60658;30504;30154
"Andalucía";"Granada";"Motril";"36.74467";"-3.516718";60279;29907;30372
"Canarias";"Las Palmas";"Arrecife";"28.95951";"-13.5476";59127;30443;28684
"Andalucía";"Málaga";"Benalmádena";"36.59523";"-4.573368";58854;29111;29743
"Catalunya";"Barcelona";"Cerdanyola del Vallès";"41.49137";"2.140769";58747;29070;29677
"Castilla León";"Ávila";"Ávila";"40.65642";"-4.700323";56855;27485;29370
"Castilla León";"Segovia";"Segovia";"40.94943";"-4.119209";56660;27415;29245
"Extremadura";"Badajoz";"Mérida";"38.91586";"-6.345606";56395;27555;28840
"Cantabria";"Cantabria";"Torrelavega";"43.35146";"-4.047017";55947;26887;29060
"Castilla La Mancha";"Cuenca";"Cuenca";"40.07183";"-2.134005";55866;27006;28860
"Valencia";"Alicante/Alacant";"Elda";"38.47803";"-0.7904639";55168;27101;28067
"Madrid";"Madrid";"Collado Villalba";"40.62725";"-4.008587";55027;27233;27794
"Madrid";"Madrid";"Aranjuez";"40.03209";"-3.603288";54055;26606;27449
"Valencia";"Alicante/Alacant";"San Vicente del Raspeig/Sant Vicent del Raspeig";"38.39609";"-0.5249284";53126;26404;26722
"Catalunya";"Barcelona";"Mollet del Vallès";"41.54052";"2.213529";52484;26445;26039
"Canarias";"Las Palmas";"San Bartolomé de Tirajana";"27.92461";-15573;52161;27228;24933
"Aragón";"Huesca";"Huesca";"42.1401";"-0.408898";52059;25373;26686
"Castilla La Mancha";"Ciudad Real";"Puertollano";"38.68604";"-4.112146";51842;25334;26508
"Islas Baleares";"Illes Balears";"Calvià";"39.56524";"2.504216";51774;26096;25678
"Madrid";"Madrid";"Arganda del Rey";"40.30095";"-3.43808";51489;26585;24904
"Valencia";"Castellón/Castelló";"Vila-real";"39.93835";"-0.1018287";51205;25771;25434
"Asturias";"Asturias";"Siero";43383;"-5.65";51181;24987;26194
"Andalucía";"Sevilla";"Utrera";"37.18142";"-5.781507";50665;25341;25324
"Islas Baleares";"Illes Balears";"Eivissa";"38.90886";"1.432378";48684;25131;23553
"País Vasco";"Vizcaya";"Portugalete";"43.32066";"-3.020252";48105;23193;24912
"País Vasco";"Vizcaya";"Santurtzi";"43.32871";"-3.031772";46978;22890;24088
"Catalunya";"Barcelona";"Esplugues de Llobregat";"41.37751";"2.088085";46862;22885;23977
"Catalunya";"Barcelona";"Gavà";"41.30317";"2.003213";45994;22837;23157
"Asturias";"Asturias";"Langreo";"43.29636";"-5.682541";45565;21697;23868
"Andalucía";"Málaga";"Antequera";"37.01938";"-4.562885";45168;22257;22911
"Valencia";"Valencia/València";"Alzira";"39.15159";"-0.4404637";44690;21889;22801
"Valencia";"Alicante/Alacant";"Dénia";"38.84043";"0.1085751";44464;22105;22359
"Asturias";"Asturias";"Mieres";"43.25179";"-5.776198";44070;20969;23101
"Valencia";"Valencia/València";"Mislata";"39.47624";"-0.4193065";43756;21475;22281
"Madrid";"Madrid";"Colmenar Viejo";"40.65895";"-3.766043";43700;21769;21931
"Madrid";"Madrid";"Pinto";"40.24454";"-3.696013";43501;21865;21636
"Madrid";"Madrid";"Boadilla del Monte";"40.40525";"-3.876992";43414;21305;22109
"Catalunya";"Girona";"Figueres";"42.2675";"2.96084";43330;21689;21641
"Canarias";"Santa Cruz de Tenerife";"Adeje";"28.12185";"-16.72464";43204;22277;20927
"Catalunya";"Barcelona";"Sant Feliu de Llobregat";"41.38094";"2.045171";42919;20937;21982
"País Vasco";"Vizcaya";"Basauri";"43.23333";"-2.883333";42657;20873;21784
"Andalucía";"Córdoba";"Lucena";"37.40873";"-4.485598";42248;21082;21166
"Canarias";"Santa Cruz de Tenerife";"Orotava (La)";"28.39108";"-16.52354";41171;20328;20843
"Extremadura";"Cáceres";"Plasencia";"40.0305";"-6.088251";41148;20102;21046
"Murcia";"Murcia";"Alcantarilla";"37.97068";"-1.218209";41084;20484;20600
"Madrid";"Madrid";"Tres Cantos";"40.59907";"-3.712258";41064;20018;21046
